Image File,Empty Spots,Filled Spots,Total Spots Detected
2012-09-11_15_36_32_jpg.rf.b2b1767cafabff6378468d0d71c1ecd2.jpg,32,70,102
2012-09-11_15_45_57_jpg.rf.01d1052a2938ca83e8bdb05e2f86c6b4.jpg,31,71,102
2012-09-11_17_12_07_jpg.rf.e73a27714868ec27c08e1960bfa4130f.jpg,25,76,101
2012-09-11_17_31_01_jpg.rf.2e04e95005bf92a48a74f0275087d0cb.jpg,25,77,102
2012-09-11_17_35_44_jpg.rf.5663fefeb1afb80585d5245bf811b9e8.jpg,26,75,101
2012-09-11_17_59_15_jpg.rf.29ca7e6dbc33db072c02399a0fa45b0c.jpg,32,69,101
2012-09-11_18_03_58_jpg.rf.b9ac8b4e0bc746f70a759da8d7126f3d.jpg,28,73,101
2012-09-11_18_08_41_jpg.rf.580b43c2b4db21e0f8c3bfc6cf81993f.jpg,30,71,101
2012-09-12_06_26_11_jpg.rf.7ff1217fe3f62dcfe37be6ad7fd1a334.jpg,100,0,100
2012-09-12_06_31_24_jpg.rf.11cca31cda632773940bb17f821a38ab.jpg,100,0,100
2012-09-12_07_07_55_jpg.rf.689b63c9f15f53cf654de3f26335b9e1.jpg,92,10,102
2012-09-12_07_13_08_jpg.rf.a995d10c6c6257053506c36359b4d682.jpg,89,11,100
2012-09-12_07_18_22_jpg.rf.79ce4671b826968ea404225a994906d8.jpg,88,12,100
2012-09-12_08_21_07_jpg.rf.2bfc45a77b65a2bf172b747bd40ba3d8.jpg,7,94,101
2012-09-12_08_26_22_jpg.rf.fa2ee0e3bc124415a65327a4074e9b02.jpg,7,93,100
2012-09-12_08_42_04_jpg.rf.a0fe7251e5ff9b25cc52ecffbf48419c.jpg,5,96,101
2012-09-12_08_47_19_jpg.rf.14dc9d3f9af1070a6cb445fddc1d02f7.jpg,5,96,101
2012-09-12_09_08_18_jpg.rf.170491e001f14f230acb53df8438af19.jpg,5,95,100
2012-09-12_09_13_32_jpg.rf.50cfd804f8512af6e98b3841a75d6628.jpg,5,96,101
2012-09-12_09_29_16_jpg.rf.2edcf60dad2c06e207a1941c56f51b79.jpg,5,95,100
2012-09-12_09_44_59_jpg.rf.12796f9c9cc3b4b0de1f448aa8a216af.jpg,6,94,100
2012-09-12_10_00_43_jpg.rf.87e2b8b66155acfb3d7f1ab25a092569.jpg,5,96,101
2012-09-12_10_37_26_jpg.rf.570d349065a721e62d4f9c0bf23522ce.jpg,10,91,101
2012-09-12_10_42_40_jpg.rf.ce0f0b8d575fd34b2c0aa045014dc222.jpg,10,90,100
2012-09-12_10_47_54_jpg.rf.de5711e4c10e3d38a3385a96e27c49d4.jpg,11,89,100
2012-09-12_10_58_24_jpg.rf.aff9469eef821efef1fac5428f59e866.jpg,9,91,100
2012-09-12_11_03_39_jpg.rf.4d72addd3c32ee29448b1e29182f4dec.jpg,13,87,100
2012-09-12_11_24_37_jpg.rf.09f2eaba56fd75d3ba2670ea645e3843.jpg,19,85,104
2012-09-12_11_45_32_jpg.rf.e69b3556ea8745ccc45c045c5e375cc1.jpg,25,77,102
2012-09-12_12_16_56_jpg.rf.63035c9fd47dc1422cfab65d6659dcf3.jpg,46,57,103
2012-09-12_12_27_24_jpg.rf.30363cfc041688aee1b7735db184f41b.jpg,49,53,102
